@relation 'processed-weka.filters.unsupervised.attribute.Remove-R1-28,56-61-weka.filters.unsupervised.attribute.Remove-R17,20-25-weka.filters.unsupervised.attribute.Remove-R3-6,14'

@attribute stress_level_bin {Low,Moderate,High}
@attribute 'daily_screen_time_hours (Normalized)' numeric
@attribute 'social_media_hours (Normalized)' numeric
@attribute 'work_related_hours (Normalized)' numeric
@attribute 'entertainment_hours (Normalized)' numeric
@attribute 'gaming_hours (Normalized)' numeric
@attribute 'sleep_duration_hours (Normalized)' numeric
@attribute 'sleep_quality (Normalized)' numeric
@attribute 'mood_rating (Normalized)' numeric
@attribute 'physical_activity_hours_per_week (Normalized)' numeric
@attribute 'mental_health_score (Normalized)' numeric
@attribute 'weekly_anxiety_score (Normalized)' numeric
@attribute 'mindfulness_minutes_per_day (Normalized)' numeric
@attribute 'uses_wellness_apps (Encoded)' numeric
@attribute 'eats_healthy (Encoded)' numeric

@data
High,0.411111,1,0.921053,0.410256,0.105263,0.583333,1,0.044444,0,0.333333,0.571429,0.197297,0,0
Low,0.5,0.285714,0.394737,0.564103,0.605263,0.555556,0.75,0.677778,0.381356,0.666667,0.190476,0.235135,0,1
High,0.655556,1,0.894737,0.333333,0.263158,0.75,0.5,0,0,0.144928,0.52381,0.235135,0,0
High,0.677778,1,0.868421,0.282051,0.263158,0.472222,0.5,0.033333,0.194915,0.463768,0.428571,0.289189,1,0
High,0.544444,1,0.736842,0.384615,0.342105,0.611111,0.5,0,0,0.246377,0.52381,0.056757,0,1
High,0.211111,0.97619,0.868421,0.461538,0.5,0.444444,0.75,0,0,0.275362,0.47619,0.394595,1,0
Moderate,0.688889,0.666667,0.789474,0.384615,0.236842,0.472222,0.75,0.411111,0.288136,0.550725,0.238095,0.281081,1,0
Moderate,0.444444,0.833333,0.789474,0.307692,0.184211,0.555556,0.75,0.133333,0.042373,0.449275,0.52381,0.462162,1,1
Moderate,0.388889,0.52381,0.684211,0.615385,0.552632,0.555556,1,0.5,0.279661,0.565217,0.380952,0.618919,1,0
Moderate,0.5,0.833333,0.763158,0.564103,0.421053,0.305556,0.75,0.566667,0.144068,0.536232,0.190476,0.57027,0,0
Moderate,0.255556,0.547619,0.736842,0.461538,0.421053,0.555556,0.75,0.622222,0.29661,0.594203,0.095238,0.627027,0,0
Moderate,0.2,0.738095,0.736842,0.282051,0.289474,0.5,0.75,0.322222,0,0.42029,0.333333,0.459459,1,1
High,0.377778,1,0.736842,0.358974,0.263158,0.722222,0.75,0.188889,0.135593,0.449275,0.666667,0.332432,0,1
Low,0.522222,0.285714,0.473684,0.641026,0.684211,0.388889,1,0.533333,0.372881,0.811594,0.238095,0.575676,0,0
High,0.566667,0.904762,0.789474,0.333333,0.342105,0.611111,1,0.055556,0.20339,0.507246,0.428571,0.121622,0,0
Low,0.411111,0.380952,0.473684,0.615385,0.736842,0.666667,0.75,0.8,0.347458,0.695652,0.190476,0.22973,1,1
Low,0.422222,0.428571,0.605263,0.435897,0.684211,0.472222,1,0.8,0.033898,0.478261,0.142857,0.264865,1,0
High,0.522222,1,0.815789,0.179487,0.394737,0.416667,0.75,0,0,0.246377,1,0.186486,0,1
Moderate,0.355556,0.571429,0.657895,0.461538,0.447368,0.527778,1,0.577778,0.152542,0.463768,0.380952,0.181081,0,1
Moderate,0.444444,0.666667,0.605263,0.333333,0.236842,0.5,1,0.7,0.135593,0.608696,0.428571,0.397297,0,1
Moderate,0.111111,0.928571,0.763158,0.333333,0.236842,0.5,0.75,0.311111,0,0.478261,0.285714,0.202703,0,1
Low,0.355556,0.5,0.605263,0.512821,0.342105,0.527778,1,0.466667,0.440678,0.666667,0.047619,0.3,1,0
Low,0.244444,0.142857,0.157895,0.589744,0.947368,0.638889,0.75,0.855556,0.610169,0.855072,0.095238,0.462162,1,0
Low,0.188889,0.333333,0.342105,0.564103,0.763158,0.472222,0.75,0.7,0.618644,0.681159,0.333333,0.637838,0,1
High,0.511111,0.952381,0.815789,0.641026,0.210526,0.5,0.5,0.266667,0,0.231884,0.809524,0.197297,0,0
Moderate,0.555556,0.714286,0.842105,0.307692,0.447368,0.444444,0.75,0.588889,0.186441,0.536232,0.47619,0.324324,1,0
Low,0.355556,0.119048,0.263158,0.692308,0.684211,0.583333,1,0.888889,0.432203,0.724638,0,0.410811,0,0
Moderate,0.644444,0.833333,0.842105,0.282051,0.394737,0.75,0.25,0.366667,0.347458,0.434783,0.571429,0.337838,1,0
Low,0.133333,0.095238,0.157895,0.487179,0.763158,0.444444,1,0.955556,0.491525,0.913043,0.095238,0.837838,1,0
Low,0.344444,0.428571,0.526316,0.461538,0.526316,0.555556,1,0.766667,0.271186,0.753623,0.238095,0.437838,0,0
High,0.755556,1,0.868421,0.205128,0.315789,0.472222,0.75,0,0.025424,0.217391,1,0.037838,1,0
Moderate,0.177778,0.833333,0.736842,0.307692,0.315789,0.555556,0.75,0.477778,0.135593,0.449275,0.47619,0.443243,0,0
High,0.911111,1,0.947368,0.051282,0.342105,0.444444,0.5,0,0.067797,0.057971,0.904762,0.218919,1,1
Low,0.466667,0.428571,0.578947,0.487179,0.342105,0.333333,0.75,0.633333,0.211864,0.797101,0.190476,0.564865,0,0
High,0.688889,1,0.921053,0.230769,0.342105,0.416667,0.5,0,0.084746,0.028986,0.857143,0.010811,1,0
High,0.6,1,0.842105,0.282051,0.131579,0.111111,1,0,0,0.275362,0.809524,0.140541,1,0
High,0.244444,1,0.894737,0.410256,0.289474,0.583333,1,0.144444,0.067797,0.347826,0.666667,0.172973,0,0
Moderate,0.477778,0.595238,0.710526,0.358974,0.473684,0.361111,0.5,0.633333,0.288136,0.608696,0.142857,0.454054,1,0
Low,0.288889,0.285714,0.447368,0.74359,0.657895,0.638889,1,0.766667,0.40678,0.710145,0.190476,0.445946,1,1
Low,0.466667,0.380952,0.421053,0.820513,0.552632,0.75,0.75,0.9,0.262712,0.666667,0.190476,0.367568,1,1
Moderate,0.266667,0.666667,0.842105,0.410256,0.236842,0.638889,0.75,0.377778,0.084746,0.42029,0.333333,0.254054,0,0
High,0.4,0.904762,0.789474,0.564103,0.342105,0.555556,1,0.222222,0.144068,0.42029,0.380952,0.12973,1,1
Moderate,0.288889,0.666667,0.815789,0.435897,0.315789,0.527778,0.5,0.233333,0.194915,0.507246,0.333333,0.510811,0,1
Low,0.333333,0.285714,0.342105,0.820513,0.736842,0.555556,0.75,0.611111,0.474576,0.695652,0.142857,0.375676,1,1
High,0.7,1,0.894737,0.333333,0.263158,0.416667,0.5,0.333333,0,0.289855,0.571429,0.064865,0,0
Low,0.166667,0.071429,0.105263,0.769231,0.710526,0.638889,1,0.9,0.372881,0.811594,0,0.840541,0,1
Moderate,0.433333,0.738095,0.815789,0.512821,0.368421,0.611111,0.75,0.511111,0.067797,0.405797,0,0.145946,0,0
High,0.711111,1,0.921053,0.333333,0.315789,0.333333,0.75,0.055556,0,0.405797,0.52381,0.191892,0,0
Low,0.011111,0.261905,0.368421,0.717949,0.631579,0.833333,0.75,1,0.5,0.710145,0.095238,0.5,1,1
Low,0.255556,0.285714,0.368421,0.641026,0.657895,0.583333,1,0.833333,0.610169,0.782609,0.095238,0.389189,0,1
High,0.633333,1,0.789474,0.333333,0.447368,0.5,0.5,0.144444,0.144068,0.231884,0.428571,0.205405,1,1
Low,0.255556,0.166667,0.236842,0.512821,0.894737,0.777778,0.75,1,0.279661,0.710145,0,0.413514,1,1
High,0.433333,0.880952,0.763158,0.538462,0.368421,0.25,0.75,0.233333,0.177966,0.347826,0.809524,0.135135,0,1
Moderate,0.566667,0.595238,0.657895,0.589744,0.236842,0.138889,0.75,0.333333,0.516949,0.710145,0.142857,0.416216,1,1
Low,0.377778,0.404762,0.342105,0.615385,0.552632,0.638889,0.75,0.677778,0.432203,0.710145,0.095238,0.840541,0,1
High,0.522222,1,0.868421,0.230769,0.289474,0.527778,0.5,0.155556,0,0.202899,0.809524,0.218919,0,0
High,0.322222,0.97619,0.868421,0.461538,0.210526,0.805556,0.5,0.111111,0,0.318841,0.47619,0.264865,0,0
High,0.822222,1,0.736842,0.25641,0.342105,0.277778,0.5,0,0.271186,0.333333,0.47619,0.181081,0,1
Moderate,0.477778,0.738095,0.842105,0.230769,0.368421,0.611111,0.75,0.255556,0.279661,0.362319,0.47619,0.378378,0,1
High,0.388889,1,0.894737,0.358974,0.289474,0.5,0.75,0,0,0.246377,0.761905,0.22973,1,0
High,0.688889,1,0.789474,0.25641,0.263158,0.611111,0.5,0.111111,0.228814,0.188406,0.380952,0.132432,0,0
Moderate,0.444444,0.714286,0.684211,0.333333,0.236842,0.25,0.75,0.533333,0.228814,0.536232,0.142857,0.313514,1,0
Moderate,0.377778,0.619048,0.815789,0.358974,0.421053,0.527778,0.75,0.655556,0.245763,0.637681,0.238095,0.302703,1,0
Moderate,0.522222,0.547619,0.736842,0.333333,0.578947,0.611111,0.5,0.355556,0.177966,0.550725,0.190476,0.213514,0,0
Moderate,0.444444,0.880952,0.815789,0.179487,0.342105,0.444444,0.75,0.444444,0.135593,0.463768,0.285714,0.264865,0,1
Low,0.311111,0.309524,0.5,0.641026,0.736842,0.583333,0.75,0.477778,0.440678,0.768116,0.142857,0.8,1,1
Low,0.333333,0.333333,0.447368,0.512821,0.657895,0.583333,0.75,0.733333,0.449153,0.695652,0.238095,0.767568,1,1
Low,0.277778,0.071429,0.105263,0.74359,0.763158,0.638889,0.75,0.822222,0.483051,0.855072,0,0.932432,0,1
High,0.433333,1,0.736842,0.205128,0.421053,0.388889,0.75,0,0,0.289855,0.571429,0.159459,0,1
Moderate,0.311111,0.571429,0.789474,0.410256,0.394737,0.527778,1,0.366667,0.644068,0.768116,0.47619,0.286486,0,0
Low,0,0.428571,0.5,0.615385,0.763158,0.75,1,0.588889,0.5,0.637681,0.190476,0.410811,1,1
Low,0.277778,0.452381,0.605263,0.589744,0.289474,0.694444,0.75,0.711111,0.381356,0.681159,0.142857,0.332432,1,0
Moderate,0.5,0.595238,0.710526,0.435897,0.421053,0.555556,0.75,0.588889,0.449153,0.695652,0.238095,0.194595,1,1
Moderate,0.411111,0.738095,0.868421,0.512821,0.552632,0.527778,0.75,0.377778,0,0.434783,0.47619,0.348649,1,1
High,0.833333,1,0.842105,0.128205,0.289474,0.444444,0.5,0,0,0.362319,0.952381,0.194595,1,0
Moderate,0.488889,0.690476,0.736842,0.589744,0.5,0.666667,0.5,0.422222,0.228814,0.521739,0.428571,0.52973,1,0
High,0.244444,0.833333,0.815789,0.589744,0.315789,0.638889,0.75,0.155556,0.050847,0.347826,0.619048,0.413514,0,0
Low,0.122222,0.166667,0.157895,0.794872,0.763158,0.472222,0.75,0.766667,0.661017,0.797101,0,0.327027,1,1
High,0.1,0.928571,0.894737,0.410256,0.157895,0.5,0.75,0.166667,0.084746,0.536232,0.47619,0.256757,0,1
High,0.5,1,0.789474,0.410256,0.263158,0.527778,0.75,0,0.118644,0.449275,0.666667,0.243243,0,0
Low,0.244444,0.261905,0.421053,0.692308,0.552632,0.361111,1,0.666667,0.432203,0.666667,0.142857,0.324324,0,0
High,0.511111,0.904762,0.710526,0.358974,0.394737,0.638889,0.5,0.333333,0.135593,0.318841,0.52381,0.3,0,0
Low,0.266667,0.095238,0.263158,0.589744,0.842105,0.472222,0.75,0.988889,0.601695,0.898551,0.142857,0.5,1,1
Moderate,0.188889,0.785714,0.815789,0.384615,0.263158,0.472222,0.75,0.488889,0.177966,0.463768,0.285714,0.359459,0,0
Low,0.411111,0.142857,0.236842,0.487179,0.684211,0.777778,0.75,0.933333,0.389831,0.753623,0.142857,0.948649,1,0
Moderate,0.533333,0.619048,0.631579,0.358974,0.578947,0.472222,0.75,0.655556,0.279661,0.57971,0.238095,0.518919,1,1
Moderate,0.133333,0.714286,0.842105,0.333333,0.210526,0.694444,0.75,0.522222,0.644068,0.666667,0.428571,0.483784,0,1
Moderate,0.244444,0.52381,0.763158,0.461538,0.578947,0.694444,0.75,0.566667,0.254237,0.623188,0.428571,0.183784,0,1
Low,0.555556,0.357143,0.552632,0.564103,0.552632,0.722222,0.75,0.711111,0.381356,0.608696,0.238095,0.548649,1,1
High,0.588889,0.904762,0.815789,0.25641,0.289474,0.416667,0.75,0.288889,0.161017,0.478261,0.380952,0.140541,0,1
High,0.566667,1,0.789474,0.358974,0.289474,0.527778,0.75,0,0,0.289855,0.571429,0.197297,0,0
Low,0.133333,0.285714,0.447368,0.487179,0.815789,0.638889,0.75,0.788889,0.186441,0.84058,0.047619,0.686486,0,1
Moderate,0.277778,0.595238,0.789474,0.25641,0.447368,0.944444,1,0.655556,0.771186,0.797101,0.190476,0.256757,0,1
Moderate,0.322222,0.595238,0.736842,0.487179,0.315789,0.305556,1,0.566667,0.20339,0.695652,0.47619,0.364865,0,0
Moderate,0.133333,0.809524,0.815789,0.512821,0.315789,0.638889,0.75,0.422222,0.025424,0.42029,0.285714,0.413514,0,0
Moderate,0.455556,0.595238,0.789474,0.435897,0.447368,0.527778,0.75,0.444444,0.254237,0.666667,0.333333,0.367568,0,1
Moderate,0.266667,0.833333,0.789474,0.435897,0.289474,0.583333,0.75,0.477778,0.118644,0.565217,0.285714,0.210811,0,0
High,0.466667,1,0.921053,0.282051,0.421053,0.333333,0.75,0,0.067797,0.275362,0.666667,0.051351,0,1
Moderate,0.255556,0.547619,0.631579,0.435897,0.473684,0.361111,1,0.466667,0.169492,0.637681,0.285714,0.448649,0,0
Moderate,0.377778,0.738095,0.815789,0.410256,0.447368,0.361111,1,0.611111,0.177966,0.536232,0.285714,0.332432,0,0
High,1,1,0.894737,0.153846,0,0.472222,0.5,0,0,0.086957,0.761905,0.089189,0,1
Low,0.288889,0.452381,0.578947,0.512821,0.526316,0.583333,0.75,0.666667,0.372881,0.710145,0.095238,0.821622,0,1
Moderate,0.266667,0.857143,0.763158,0.461538,0.289474,0.361111,1,0.344444,0.211864,0.536232,0.285714,0.359459,0,1
Moderate,0.466667,0.880952,0.736842,0.512821,0.473684,0.75,0.75,0.388889,0.237288,0.57971,0.47619,0.362162,1,0
High,0.788889,1,0.815789,0.205128,0.421053,0.722222,0.75,0.144444,0,0.26087,0.619048,0.218919,0,0
Moderate,0.566667,0.738095,0.842105,0.282051,0.473684,0.555556,0.5,0.411111,0.29661,0.536232,0.52381,0.410811,0,1
Moderate,0.333333,0.571429,0.710526,0.692308,0.447368,0.638889,1,0.633333,0.254237,0.608696,0.285714,0.183784,0,1
High,0.6,1,0.842105,0.230769,0.184211,0.527778,1,0,0,0.101449,0.619048,0.210811,0,0
High,0.544444,1,0.789474,0.153846,0.236842,0.444444,0.75,0,0,0.289855,0.571429,0.262162,0,0
Moderate,0.4,0.761905,0.815789,0.333333,0.368421,0.305556,0.75,0.422222,0.220339,0.57971,0.380952,0.351351,0,0
Moderate,0.488889,0.785714,0.868421,0.153846,0.342105,0.388889,1,0.355556,0.211864,0.507246,0.428571,0.137838,0,0
High,0.688889,0.952381,0.868421,0.435897,0.315789,0.472222,0.75,0,0.110169,0.42029,0.52381,0.145946,0,0
High,0.688889,0.97619,0.789474,0.435897,0.289474,0.555556,0.75,0.111111,0.245763,0.478261,0.761905,0.402703,0,0
Moderate,0.8,0.619048,0.710526,0.435897,0.447368,0.416667,0.5,0.588889,0.279661,0.565217,0.238095,0.537838,1,1
Low,0.444444,0.5,0.631579,0.487179,0.657895,0.527778,0.75,0.522222,0.262712,0.637681,0.285714,0.708108,0,0
High,0.455556,0.904762,0.842105,0.410256,0.315789,0.555556,0.75,0.177778,0,0.275362,0.47619,0.162162,1,0
High,0.9,1,0.736842,0.384615,0.236842,0.416667,0.75,0.1,0.118644,0.275362,0.428571,0.191892,0,0
High,0.788889,1,0.894737,0.307692,0.342105,0.361111,0.5,0,0,0.318841,0.904762,0.143243,1,0
High,0.688889,1,0.763158,0.179487,0.368421,0.527778,0.5,0,0.059322,0.275362,0.714286,0.097297,0,0
Low,0.055556,0.357143,0.710526,0.564103,0.763158,0.527778,1,0.711111,0.432203,0.768116,0.047619,0.491892,0,1
Low,0.3,0.47619,0.552632,0.615385,0.5,0.638889,0.75,0.844444,0.474576,0.782609,0.142857,0.551351,1,1
Moderate,0.477778,0.47619,0.789474,0.564103,0.368421,0.333333,0.75,0.344444,0.228814,0.57971,0.380952,0.2,0,0
High,0.922222,1,0.842105,0.153846,0.315789,0.222222,0.5,0.011111,0.050847,0.173913,1,0.162162,1,0
Low,0.2,0.52381,0.605263,0.717949,0.447368,0.527778,1,0.733333,0.279661,0.608696,0.142857,0.224324,1,1
High,0.866667,1,0.868421,0.307692,0.315789,0.444444,0.5,0,0.144068,0.231884,0.52381,0.237838,0,0
Low,0.266667,0.428571,0.605263,0.538462,0.710526,0.638889,0.75,0.744444,0.466102,0.681159,0.190476,0.47027,0,1
Low,0.233333,0.52381,0.5,0.538462,0.447368,0.5,1,0.733333,0.491525,0.652174,0.095238,0.505405,1,1
High,0.711111,1,0.842105,0.230769,0.263158,0.277778,0.5,0,0,0.15942,0.857143,0.075676,1,1
High,0.555556,1,0.842105,0.230769,0.289474,0.666667,1,0,0.194915,0.492754,0.904762,0.343243,0,0
Low,0.233333,0.452381,0.5,0.461538,0.605263,0.611111,1,0.611111,0.169492,0.681159,0.238095,0.4,0,1
High,0.7,1,0.815789,0.282051,0.184211,0.444444,0.75,0.044444,0.033898,0.449275,0.47619,0.208108,0,1
High,0.722222,1,0.842105,0.384615,0.447368,0.5,0.5,0.066667,0,0.202899,0.47619,0.194595,0,0
Moderate,0.611111,0.809524,0.736842,0.358974,0.394737,0.361111,0.5,0.477778,0.254237,0.507246,0.47619,0.451351,0,1
High,0.622222,1,0.842105,0.435897,0.315789,0.638889,0.75,0.177778,0.076271,0.478261,0.714286,0.175676,1,1
Low,0.433333,0.404762,0.421053,0.717949,0.605263,0.638889,0.75,0.722222,0.567797,0.724638,0.142857,0.897297,1,1
Moderate,0.166667,0.738095,0.763158,0.461538,0.184211,0.583333,0.75,0.311111,0.245763,0.492754,0.428571,0.367568,1,0
High,0.555556,1,0.815789,0.025641,0.210526,0.5,0.75,0,0,0.289855,0.428571,0.07027,1,1
Low,0,0.142857,0.131579,0.641026,0.736842,0.666667,1,0.855556,0.423729,0.826087,0.190476,0.489189,1,0
High,0.755556,0.97619,0.842105,0.282051,0.368421,0.638889,0.25,0,0.194915,0.333333,0.333333,0.356757,0,1
High,0.633333,1,0.789474,0.25641,0.394737,0.555556,0.5,0,0,0.289855,0.333333,0.189189,0,0
High,0.566667,0.928571,0.842105,0.179487,0.342105,0.583333,0.5,0.022222,0,0.449275,0.666667,0.218919,0,0
High,0.711111,0.952381,0.921053,0.512821,0.210526,0.5,0.5,0.055556,0.135593,0.376812,0.52381,0.064865,0,0
Low,0.455556,0.452381,0.552632,0.358974,0.868421,0.555556,0.75,0.811111,0.525424,0.811594,0.190476,0.745946,1,0
Low,0.611111,0.452381,0.631579,0.435897,0.5,0.777778,1,0.722222,0.279661,0.594203,0.238095,0.610811,0,1
Moderate,0.533333,0.738095,0.710526,0.282051,0.526316,0.472222,0.75,0.588889,0.245763,0.405797,0.333333,0.643243,0,0
Moderate,0.522222,0.738095,0.763158,0.461538,0.394737,0.555556,0.75,0.544444,0.449153,0.608696,0.333333,0.178378,1,1
Moderate,0.455556,0.761905,0.763158,0.410256,0.236842,0.833333,0.75,0.311111,0,0.507246,0.571429,0.486486,0,0
Low,0.255556,0.380952,0.368421,0.564103,0.657895,0.777778,1,0.966667,0.271186,0.623188,0,0.716216,1,0
Low,0.488889,0.333333,0.421053,0.512821,0.578947,0.583333,0.75,0.733333,0.322034,0.666667,0.238095,0.589189,1,1
Moderate,0.288889,0.547619,0.710526,0.461538,0.263158,0.388889,0.75,0.455556,0.322034,0.710145,0.142857,0.27027,1,0
High,0.722222,0.97619,0.868421,0.153846,0.289474,0.75,0.5,0,0.059322,0.376812,0.714286,0.043243,1,0
High,0.644444,1,0.815789,0.230769,0.210526,0.444444,0.5,0.111111,0.033898,0.26087,0.333333,0.154054,0,1
Moderate,0.333333,0.571429,0.657895,0.615385,0.236842,0.583333,1,0.544444,0.194915,0.623188,0.238095,0.62973,0,1
High,0.6,1,0.894737,0.307692,0,0.638889,0.75,0,0,0.318841,0.904762,0.097297,1,0
High,0.655556,1,0.815789,0.179487,0.236842,0.472222,0.75,0,0.118644,0.362319,0.761905,0.289189,0,0
High,0.711111,0.857143,0.842105,0.564103,0.105263,0.5,1,0.322222,0.288136,0.608696,0.428571,0.481081,1,0
High,0.633333,1,0.789474,0.205128,0.184211,0.5,0.5,0,0,0.173913,0.904762,0.102703,0,0
Moderate,0.277778,0.785714,0.763158,0.461538,0.210526,0.555556,1,0.444444,0.101695,0.521739,0.428571,0.321622,0,0
Moderate,0.366667,0.595238,0.578947,0.461538,0.631579,0.638889,1,0.555556,0.228814,0.666667,0.47619,0.308108,0,1
Low,0.444444,0.5,0.605263,0.512821,0.605263,0.444444,0.75,0.677778,0.305085,0.536232,0.095238,0.424324,0,1
Moderate,0.611111,0.857143,0.789474,0.410256,0.289474,0.333333,0.5,0.244444,0.338983,0.42029,0.52381,0.313514,0,0
High,0.788889,1,0.815789,0.333333,0.263158,0.527778,0.75,0,0.101695,0.289855,0.571429,0.248649,0,0
High,0.733333,0.97619,0.894737,0.589744,0.263158,0.638889,0.5,0.211111,0.220339,0.492754,0.571429,0.181081,0,1
Moderate,0.233333,0.666667,0.710526,0.410256,0.342105,0.5,0.75,0.311111,0.220339,0.565217,0.285714,0.554054,1,0
Low,0.277778,0.333333,0.473684,0.538462,0.657895,0.527778,0.75,0.611111,0.474576,0.681159,0.190476,0.472973,1,1
Low,0.111111,0.095238,0.157895,0.666667,0.631579,0.638889,1,0.955556,0.483051,0.782609,0,0.243243,0,1
Low,0.322222,0.452381,0.684211,0.74359,0.421053,0.583333,0.75,0.577778,0.135593,0.681159,0.380952,0.656757,1,0
High,0.466667,0.904762,0.921053,0.487179,0.394737,0.25,0.5,0.255556,0,0.391304,0.761905,0.232432,0,1
Low,0.111111,0.071429,0.105263,0.74359,0.605263,0.583333,1,0.911111,0.347458,0.782609,0.047619,0.497297,1,0
High,0.455556,1,0.894737,0.358974,0.342105,0.777778,0.5,0,0.084746,0.289855,0.809524,0.340541,1,0
Moderate,0.688889,0.809524,0.921053,0.461538,0.210526,0.638889,0.75,0.355556,0.449153,0.536232,0.333333,0.175676,0,1
High,0.333333,0.904762,0.868421,0.384615,0.368421,0.805556,0.75,0.277778,0,0.347826,0.428571,0.245946,1,1
Low,0.233333,0.452381,0.578947,0.564103,0.5,0.694444,1,0.522222,0.364407,0.753623,0.238095,0.781081,1,0
High,0.355556,1,0.763158,0.128205,0.263158,0.5,0.75,0,0,0.217391,0.857143,0.232432,0,0
Moderate,0.366667,0.714286,0.657895,0.230769,0.447368,0.611111,0.5,0.311111,0.237288,0.594203,0.285714,0.545946,0,1
Moderate,0.5,0.833333,0.736842,0.282051,0.447368,0.611111,0.75,0.222222,0.067797,0.376812,0.380952,0.164865,0,1
High,0.655556,1,0.973684,0.538462,0.315789,0.416667,0.5,0.177778,0.033898,0.275362,0.428571,0.267568,0,0
High,0.411111,1,0.868421,0.076923,0.315789,0.305556,1,0,0,0.507246,0.761905,0.202703,0,1
Moderate,0.388889,0.928571,0.815789,0.589744,0.236842,0.694444,0.75,0.344444,0.220339,0.565217,0.571429,0.364865,1,0
High,0.555556,1,0.815789,0.307692,0.289474,0.472222,1,0,0,0.188406,0.666667,0.064865,0,0
High,0.611111,1,0.894737,0.307692,0.315789,0.583333,0.5,0,0,0.289855,0.904762,0.208108,0,1
High,0.8,0.904762,0.815789,0.282051,0.368421,0.222222,0.75,0.244444,0.059322,0.478261,0.333333,0.32973,0,0
High,0.388889,0.880952,0.763158,0.358974,0.342105,0.472222,0.75,0.266667,0.008475,0.434783,0.47619,0.208108,1,0
High,0.366667,0.928571,0.736842,0.461538,0.342105,0.638889,0.75,0.288889,0.09322,0.391304,0.761905,0.462162,0,0
Low,0.277778,0.52381,0.5,0.538462,0.394737,0.694444,1,0.688889,0.254237,0.594203,0.333333,0.218919,0,0
High,0.6,1,0.842105,0.358974,0.447368,0.611111,0.5,0,0,0.304348,0.714286,0.156757,1,1
Moderate,0.366667,0.595238,0.684211,0.384615,0.368421,0.555556,1,0.722222,0.254237,0.608696,0.380952,0.5,1,0
High,0.744444,0.880952,0.868421,0.512821,0.236842,0.5,0.75,0.233333,0.305085,0.376812,0.619048,0.3,1,1
High,0.688889,0.904762,0.894737,0.538462,0.236842,0.5,0.75,0.5,0.279661,0.42029,0.666667,0.505405,0,0
Low,0.133333,0.119048,0.105263,0.692308,0.657895,0.694444,1,0.944444,0.440678,0.681159,0.047619,0.502703,1,1
High,0.533333,1,0.815789,0.205128,0.236842,0.611111,0.75,0,0.076271,0.202899,0.52381,0.102703,0,1
High,0.833333,1,0.947368,0.051282,0.342105,0.277778,0.75,0,0,0.318841,1,0.143243,1,0
Low,0.544444,0.285714,0.5,0.666667,0.578947,0.777778,0.75,0.855556,0.40678,0.695652,0.190476,0.808108,0,0
Low,0.3,0.547619,0.5,0.615385,0.368421,0.555556,0.75,0.533333,0.29661,0.724638,0.333333,0.505405,0,1
High,0.433333,1,0.947368,0.153846,0.421053,0.527778,0.75,0,0,0.188406,0.904762,0.2,0,1
Low,0.355556,0.47619,0.552632,0.410256,0.605263,0.555556,0.75,0.422222,0.288136,0.536232,0.047619,0.751351,0,0
Low,0.211111,0.333333,0.421053,0.564103,0.578947,0.666667,1,0.733333,0.491525,0.797101,0.285714,0.472973,0,1
Low,0,0.166667,0.184211,0.641026,0.605263,0.472222,1,0.811111,0.483051,0.710145,0.142857,0.954054,1,1
High,0.722222,1,0.815789,0.282051,0.5,0.388889,0.75,0,0,0.202899,0.904762,0.175676,0,1
Moderate,0.422222,0.738095,0.736842,0.384615,0.342105,0.305556,0.75,0.388889,0.262712,0.492754,0.285714,0.667568,0,1
High,0.444444,1,0.815789,0.128205,0.421053,0.472222,0.75,0,0,0.275362,0.714286,0.002703,0,0
Low,0.4,0.119048,0.210526,0.435897,0.657895,0.583333,0.75,1,0.372881,0.652174,0.095238,0.6,1,1
Moderate,0.422222,0.761905,0.763158,0.538462,0.394737,0.638889,0.75,0.155556,0.050847,0.449275,0.380952,0.118919,0,0
Low,0.422222,0.452381,0.578947,0.384615,0.315789,0.555556,0.75,0.688889,0.237288,0.710145,0.190476,0.440541,1,1
Moderate,0.877778,0.714286,0.763158,0.333333,0.078947,0.472222,0.5,0.477778,0.415254,0.521739,0.380952,0.556757,0,1
High,0.633333,1,0.763158,0.205128,0.421053,0.25,0.75,0,0.050847,0.231884,0.52381,0.151351,0,0
Moderate,0.433333,0.595238,0.710526,0.230769,0.526316,0.583333,0.75,0.588889,0.542373,0.695652,0.47619,0.483784,0,1
Moderate,0.444444,0.785714,0.868421,0.230769,0.368421,0.722222,0.75,0.177778,0.127119,0.463768,0.52381,0.216216,1,1
High,0.844444,1,0.842105,0,0.263158,0.5,0.75,0,0,0.26087,0.571429,0.218919,1,0
Low,0.222222,0.52381,0.578947,0.615385,0.789474,0.5,0.75,0.511111,0.559322,0.768116,0.238095,0.708108,1,0
Low,0.077778,0.380952,0.368421,0.589744,0.5,0.694444,0.75,0.9,0.305085,0.710145,0.428571,0.337838,1,1
High,0.566667,1,0.842105,0.205128,0.394737,0.722222,0.5,0,0.025424,0.202899,0.857143,0.010811,1,0
High,0.555556,1,0.842105,0.410256,0.289474,0.583333,0.5,0.155556,0,0.26087,0.714286,0.410811,0,0
Low,0.422222,0.214286,0.078947,0.487179,0.605263,0.638889,0.75,1,0.423729,0.811594,0.095238,0.8,1,0
High,0.655556,1,0.789474,0.128205,0.421053,0.388889,0.75,0,0.084746,0.26087,0.714286,0.121622,0,0
